ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
3871	-75.875	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	12.7	14.3	10.3	47.6	12.7	23.8
3872	-75.825	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	13	12.8	11.2	41.3	9.6	32.2
3873	-75.775	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	16	13.3	11.3	33.8	10.8	36.3
3874	-75.725	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	17	13	12.9	33.6	18.1	33.7
3875	-75.675	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	18.5	11.7	10.6	31.6	18.1	37.1
3876	-75.625	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	19.3	11.1	15.9	34.1	16.7	39.8
3877	-75.575	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	19	10	13	28	19.3	38.9
3878	-75.525	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	13.5	9	17.2	21.9	23.4	25.6
3879	-75.475	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	15.5	8.9	15.5	21.4	19.5	32
3880	-75.425	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PUEBLO NUEVO	17.6	9.9	17.9	15.8	19.7	32.2
3881	-75.375	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PUEBLO NUEVO	16.5	11.5	19.2	14.4	23.7	36.2
3882	-75.325	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PUEBLO NUEVO	13.6	13.1	19.5	21.6	26.6	37.2
3883	-75.275	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PUEBLO NUEVO	13.7	13.5	21.8	23.8	25.3	36.3
3884	-75.225	8.425	Sinú - San Jorge - Porce	CÓRDOBA	PUEBLO NUEVO	14.5	15.6	18.7	23.2	22.1	35.9
3885	-75.175	8.425	Sinú - San Jorge - Porce	SUCRE	SAN MARCOS	11.1	11.8	23.6	21.2	18.4	37.9
3886	-75.125	8.425	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	13.8	13.2	20.3	21.2	16.3	39.2
3887	-75.075	8.425	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	14.5	13.5	17	28.8	19.8	39.6
3888	-75.025	8.425	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	23.1	11.9	18.8	31.6	18	38.1
3889	-74.975	8.425	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	23.7	13.6	17.3	33.3	14.7	41.2
3890	-74.925	8.425	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	28.7	13.7	15.4	30.1	12.5	35.1
3891	-74.875	8.425	Sinú - San Jorge - Porce	SUCRE	MAJAGUAL	38.2	18.8	19.6	34.8	11.1	28
3892	-74.825	8.425	Sinú - San Jorge - Porce	SUCRE	MAJAGUAL	37.9	18.8	19.2	26.8	12	20.1
3893	-74.775	8.425	Sinú - San Jorge - Porce	SUCRE	GUARANDA	33.1	13.5	14.8	28.9	16	25.4
3894	-74.725	8.425	Sinú - San Jorge - Porce	SUCRE	MAJAGUAL	29.4	17.6	19.8	29.3	13.8	25.1
3895	-74.675	8.425	Sinú - San Jorge - Porce	SUCRE	MAJAGUAL	24.1	20.1	23.8	24	15.4	15.6
3896	-74.625	8.425	Sinú - San Jorge - Porce	SUCRE	GUARANDA	23.8	19.2	27.5	28.1	21.4	10.3
3897	-74.575	8.425	Sinú - San Jorge - Porce	SUCRE	GUARANDA	23.9	19.3	30.6	23.4	20.1	11
3898	-74.525	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ACHÍ	23.8	15.4	26.5	17.9	21.6	15.6
3899	-74.475	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ACHÍ	23.4	13.6	25.4	17.3	15.7	17.9
3900	-74.425	8.425	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	21.8	13.2	31	21.7	17.6	18.9
3901	-74.375	8.425	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	20.7	14	31.8	23.2	15.3	18.7
3902	-74.325	8.425	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	19.9	21.2	25.8	28.6	14.7	21.9
3903	-74.275	8.425	Sinú - San Jorge - Porce	BOLÍVAR	TIQUISIO	15.6	12.5	27.5	26	13.2	16.3
3904	-74.225	8.425	Sinú - San Jorge - Porce	BOLÍVAR	NOROSÍ	7.9	16.7	27.3	29.5	16.4	17.4
3905	-74.175	8.425	Sinú - San Jorge - Porce	BOLÍVAR	NOROSÍ	8.6	21.7	30.1	38.2	19.3	20.1
3906	-74.125	8.425	Sinú - San Jorge - Porce	BOLÍVAR	RÍO VIEJO	10	24.1	25.4	38.1	22.1	24
3907	-74.075	8.425	Sinú - San Jorge - Porce	BOLÍVAR	RÍO VIEJO	14.1	24.1	24	29.8	30.4	25.3
3908	-74.025	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	16.9	24.7	25.2	33.9	33.4	24
3909	-73.975	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	18.7	28.7	26.2	41.5	24.9	29
3910	-73.925	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	17.5	26.6	20.9	41.5	22.5	24.4
3911	-73.875	8.425	Sinú - San Jorge - Porce	BOLÍVAR	ARENAL	21.6	26.8	21.7	39.9	22.2	23.5
3912	-73.825	8.425	Sinú - San Jorge - Porce	BOLÍVAR	MORALES	21.6	23.8	16.1	41.8	20.6	13.9
3913	-73.775	8.425	Sogamoso - Lebrija - altiplano	BOLÍVAR	RÍO VIEJO	19.2	36.5	18.2	36.4	26	10.1
3914	-73.725	8.425	Sogamoso - Lebrija - altiplano	CESAR	GAMARRA	19.3	26.1	13.9	35.7	23.5	9.3
3915	-73.675	8.425	Sogamoso - Lebrija - altiplano	CESAR	GAMARRA	20.1	24.3	12.3	31.8	26	11.7
3916	-73.625	8.425	Sogamoso - Lebrija - altiplano	CESAR	GAMARRA	24.2	31.2	12.9	34.4	22.9	13.8
3917	-73.575	8.425	Sogamoso - Lebrija - altiplano	CESAR	AGUACHICA	30.1	34.7	15.9	28.9	26.1	20.8
3918	-73.525	8.425	Sogamoso - Lebrija - altiplano	CESAR	AGUACHICA	25.7	34.4	14.9	28.6	23.8	20.3
3919	-73.475	8.425	Sogamoso - Lebrija - altiplano	NORTE DE SANTANDER	EL CARMEN	12.9	31.6	20.1	27.8	20.7	20.5
3920	-73.425	8.425	Catatumbo	NORTE DE SANTANDER	EL CARMEN	18.7	29.3	24.5	27.3	20.4	17.5
3921	-73.375	8.425	Catatumbo	CESAR	GONZÁLEZ	20.9	27.4	26.5	26.2	21.5	19.1
3922	-73.325	8.425	Catatumbo	NORTE DE SANTANDER	TEORAMA	17.9	28	24.2	24.6	23.4	19.7
3923	-73.275	8.425	Catatumbo	NORTE DE SANTANDER	TEORAMA	19.7	27.7	19.2	22.8	25.8	20.5
3924	-73.225	8.425	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	21.1	24.5	18.8	19.6	32.7	18
3925	-73.175	8.425	Catatumbo	NORTE DE SANTANDER	SAN CALIXTO	21.7	22.4	19	20.8	33.3	18.3
3926	-73.125	8.425	Catatumbo	NORTE DE SANTANDER	HACARÍ	17.7	25.7	17.8	28.5	35.8	18.9
3927	-73.075	8.425	Catatumbo	NORTE DE SANTANDER	HACARÍ	15.7	26	21.8	32.1	33.6	21.5
3928	-73.025	8.425	Catatumbo	NORTE DE SANTANDER	HACARÍ	22.4	27.4	22.4	20.1	30.9	20.6
3929	-72.975	8.425	Catatumbo	NORTE DE SANTANDER	HACARÍ	20.1	27.7	25.2	28.2	26.2	26.8
3930	-72.925	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	24.5	27.4	22.8	31.1	24.4	29.2
3931	-72.875	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	26.5	31.8	30.1	28.3	29.4	30.7
3932	-72.825	8.425	Catatumbo	NORTE DE SANTANDER	TIBÚ	30.8	31.5	28.7	25.6	26.1	30.4
3933	-72.775	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	29.3	30.4	31	15.4	17.8	24.8
3934	-72.725	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	31.3	32.1	24.9	11.3	21	21.6
3935	-72.675	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	17.7	35.8	24.1	15.8	24.9	18.5
3936	-72.625	8.425	Catatumbo	NORTE DE SANTANDER	SARDINATA	20.6	36.4	22.5	18.1	24.2	18.4
3937	-72.575	8.425	Catatumbo	NORTE DE SANTANDER	TIBÚ	19.1	33	25.8	23.5	23.7	17.6
3938	-72.525	8.425	Catatumbo	NORTE DE SANTANDER	TIBÚ	24.6	36.4	22.4	20.2	29.3	15.1
3939	-72.475	8.425	Catatumbo	NORTE DE SANTANDER	SAN JOSÉ DE CÚCUTA	25	36.1	16.6	25.7	22.5	16.6
3940	-77.375	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	21.4	7.4	9.8	36.1	24.3	16.8
3941	-77.325	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	19.9	7	8.5	30.9	25	23.8
3942	-77.275	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	11.6	7.1	10.5	31.5	19.9	21.9
3943	-77.225	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	8.7	9.9	12.4	28.3	26.9	22.1
3944	-77.175	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	12.6	10.6	12.6	26	21.9	19.4
3945	-77.125	8.375	Sinú - San Jorge - Porce	CHOCÓ	ACANDÍ	14.2	15.5	16.6	27.8	21	21.1
3946	-76.775	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	15.9	13.7	22.5	26.6	21.4	16.9
3947	-76.725	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	15.4	14	20.7	15.6	23.5	26.9
3948	-76.675	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	15.3	13	20.7	16.6	25.2	26.5
3949	-76.625	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	15.6	12.8	20.8	19.8	28.3	29.2
3950	-76.575	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	TURBO	15.7	12.6	17.8	18.2	23.9	17.6
3951	-76.525	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	TURBO	16.3	11.3	18.4	16.9	22.7	20
3952	-76.475	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	12.4	9.7	18.9	18.5	17.1	16.6
3953	-76.425	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	TURBO	10.4	9.4	16.7	21.1	21.6	21.1
3954	-76.375	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	8.2	11.5	15.8	15.6	20.6	12.6
3955	-76.325	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	10.9	13	19.1	15	20.2	16.5
3956	-76.275	8.375	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	12.6	13.1	16.5	10	16.6	16.6
3957	-76.225	8.375	Sinú - San Jorge - Porce	CÓRDOBA	VALENCIA	12.8	13.6	17.1	36.6	14	21.2
3958	-76.175	8.375	Sinú - San Jorge - Porce	CÓRDOBA	VALENCIA	12.7	13.7	17.7	36.3	17.5	23.6
3959	-76.125	8.375	Sinú - San Jorge - Porce	CÓRDOBA	VALENCIA	14.4	11.1	13.3	32.4	17.7	19.7
3960	-76.075	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	13.6	11.1	10.3	33	20.3	27.7
3961	-76.025	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	14.9	9.8	15.3	45.1	14.3	20.7
3962	-75.975	8.375	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	16.3	8.5	12.6	45	19.5	23
