ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
30084	-77.125	1.025	Norte Amazonia	NARIÑO	PASTO	3	3	3	1	3	3
30085	-77.075	1.025	Norte Amazonia	NARIÑO	PASTO	3	3	1	1	3	1
30086	-77.025	1.025	Norte Amazonia	PUTUMAYO	SANTIAGO	3	3	3	1	3	3
30087	-76.975	1.025	Norte Amazonia	PUTUMAYO	SANTIAGO	3	3	1	1	3	1
30088	-76.925	1.025	Norte Amazonia	PUTUMAYO	SANTIAGO	2	3	1	1	3	1
30089	-76.875	1.025	Norte Amazonia	PUTUMAYO	VILLAGARZÓN	3	3	1	1	3	1
30090	-76.825	1.025	Norte Amazonia	PUTUMAYO	VILLAGARZÓN	3	3	1	1	3	1
30091	-76.775	1.025	Norte Amazonia	PUTUMAYO	SAN FRANCISCO	3	3	1	1	3	1
30092	-76.725	1.025	Norte Amazonia	PUTUMAYO	MOCOA	3	1	1	1	1	1
30093	-76.675	1.025	Norte Amazonia	PUTUMAYO	VILLAGARZÓN	3	1	1	1	1	1
30094	-76.625	1.025	Norte Amazonia	PUTUMAYO	VILLAGARZÓN	3	1	1	1	1	1
30095	-76.575	1.025	Norte Amazonia	PUTUMAYO	VILLAGARZÓN	3	1	1	1	1	1
30096	-76.525	1.025	Norte Amazonia	PUTUMAYO	MOCOA	3	1	1	1	1	1
30097	-76.475	1.025	Norte Amazonia	CAUCA	PIAMONTE	3	1	1	1	1	1
30098	-76.425	1.025	Norte Amazonia	CAUCA	PIAMONTE	3	1	1	1	1	1
30099	-76.375	1.025	Norte Amazonia	CAUCA	PIAMONTE	3	1	1	1	1	1
30100	-76.325	1.025	Norte Amazonia	CAUCA	PIAMONTE	3	1	1	1	1	1
30101	-76.275	1.025	Norte Amazonia	CAUCA	PIAMONTE	3	1	1	1	1	1
30102	-76.225	1.025	Norte Amazonia	CAUCA	PIAMONTE	3	2	1	1	1	1
30103	-76.175	1.025	Norte Amazonia	PUTUMAYO	PUERTO GUZMÁN	2	2	1	1	1	1
30104	-76.125	1.025	Norte Amazonia	CAUCA	PIAMONTE	3	1	1	1	1	1
30105	-76.075	1.025	Norte Amazonia	PUTUMAYO	PUERTO GUZMÁN	3	1	1	1	1	1
30106	-76.025	1.025	Norte Amazonia	PUTUMAYO	PUERTO GUZMÁN	3	1	1	1	1	1
30107	-75.975	1.025	Norte Amazonia	PUTUMAYO	PUERTO GUZMÁN	3	1	1	1	1	1
30108	-75.925	1.025	Norte Amazonia	PUTUMAYO	PUERTO GUZMÁN	3	1	1	1	1	1
30109	-75.875	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30110	-75.825	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30111	-75.775	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30112	-75.725	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30113	-75.675	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30114	-75.625	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30115	-75.575	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30116	-75.525	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30117	-75.475	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30118	-75.425	1.025	Norte Amazonia	CAQUETÁ	VALPARAÍSO	3	1	1	1	1	1
30119	-75.375	1.025	Norte Amazonia	CAQUETÁ	MILÁN	3	1	1	1	1	1
30120	-75.325	1.025	Norte Amazonia	CAQUETÁ	MILÁN	3	1	1	1	1	1
30121	-75.275	1.025	Norte Amazonia	CAQUETÁ	MILÁN	3	1	1	1	1	1
30122	-75.225	1.025	Norte Amazonia	CAQUETÁ	MILÁN	3	1	1	1	1	1
30123	-75.175	1.025	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
